Unit,Feature #,Feature,Category
Ahla Chat,1,واجهة شفافة Glass UI بحركة RTL/LTR ديناميكية,UI
Ahla Chat,2,فقاعات رسائل تتغير ألوانها حسب المزاج المكتشف,UI
Ahla Chat,3,تحريك فيزيائي للرسائل عند السحب/الرد,UI
Ahla Chat,4,تحويل صوت إلى نص فوري (Whisper‑WASM),UI
Ahla Chat,5,ردود ذكية ثنائية اللغة من Emotion Engine,UI
Ahla Chat,6,ردود فعل حركية بتأثيرات Lottie ثلاثية الأبعاد,UI
Ahla Chat,7,ملف شخصي تفاعلي Ahla ID يعرض الحالة العاطفية,UI
Ahla Chat,8,تمرير ذكي يعود لآخر موضع في المحادثة,UI
Ahla Chat,9,سحب‑و‑إفلات للملفات والصور داخل النافذة,UI
Ahla Chat,10,خلفيات ديناميكية حسب الطقس والمزاج,UI
Ahla Chat,11,تشفير طرفي Signal/MLS لكل جلسة,Security
Ahla Chat,12,واجهة مقارنة Safety Numbers بين الأطراف,Security
Ahla Chat,13,نسخ احتياطي مشفّر بالمفتاح المحلي فقط,Security
Ahla Chat,14,مصادقة الأجهزة الجديدة عبر QR آمن,Security
Ahla Chat,15,رسائل ذاتية الإتلاف بمهلة زمنية,Security
Ahla Chat,16,وضع خاص Private Mode ببصمة/كلمة مرور,Security
Ahla Chat,17,تنبيه عند التقاط لقطة شاشة في المحادثات الحساسة,Security
Ahla Chat,18,وضع الاختفاء المؤقت للمستخدم في المحادثات,Security
Ahla Chat,19,فلترة الروابط المشبوهة وتحذير من التصيّد,Security
Ahla Chat,20,تجزئة مفاتيح التشفير حسب نوع البيانات,Security
Ahla Chat,21,تحليل نبرة الحوار لحظيًا (حدة/تعاطف/سعادة),AI
Ahla Chat,22,مؤشر بصري لحدة النقاش أعلى الشاشة,AI
Ahla Chat,23,اقتراح جمل مهدئة عند تصاعد التوتر,AI
Ahla Chat,24,ملخص ذكي للمحادثة الطويلة,AI
Ahla Chat,25,اكتشاف الكلمات المفتاحية تلقائيًا,AI
Ahla Chat,26,تحليل انفعال الملاحظات الصوتية,AI
Ahla Chat,27,سجل زمني لتطور المزاج بالمحادثة,AI
Ahla Chat,28,اقتراح إيموجي دقيق حسب السياق,AI
Ahla Chat,29,تفعيل لحظة صمت تلقائيًا عند ارتفاع التوتر,AI
Ahla Chat,30,لوحة Insights للكلمات الشائعة ونِسب المزاج,AI
Ahla Chat,31,إرسال صور عالية الدقة دون ضغط,UI
Ahla Chat,32,مشغل فيديو مصغر داخل الفقاعة,UI
Ahla Chat,33,تقطيع/ترميز WebCodecs للفيديو الطويل (H.264/AV1),UI
Ahla Chat,34,مشاركة الموقع الحي بخريطة تفاعلية,UI
Ahla Chat,35,تحويل الرسائل الصوتية إلى نص تلقائيًا,UI
Ahla Chat,36,خزانة وسائط شخصية داخل المحادثة,UI
Ahla Chat,37,عارض PDF/Word مدمج داخل الدردشة,UI
Ahla Chat,38,إعادة تسمية المرفقات داخل التطبيق,UI
Ahla Chat,39,OCR محلي (WASM) لتحويل الصور إلى نص,UI
Ahla Chat,40,تحويل الرسالة إلى بطاقة مشاركة جميلة,UI
Ahla Chat,41,مجلدات محادثات (عمل/أصدقاء/عائلة),Governance
Ahla Chat,42,تثبيت المحادثات الهامة مع تذكير زمني,Governance
Ahla Chat,43,بحث موحّد عبر النص والوسائط والملفات,Governance
Ahla Chat,44,وضع التركيز لكتم محادثات محددة مؤقتًا,Governance
Ahla Chat,45,إدارة الأجهزة النشطة وتسجيل الخروج عن بُعد,Governance
Ahla Chat,46,تكامل مباشر مع Ahla Drive لإرسال/استقبال الملفات,Integration
Ahla Chat,47,دمج Ahla Mail للرد عبر البريد أو الدردشة,Integration
Ahla Chat,48,تشغيل محادثة عمل من مهمة Ahla Business,Integration
Ahla Chat,49,Webhook API للبوتات والتكاملات الخارجية,Integration
Ahla Chat,50,تحويل المحادثة إلى اجتماع Ahla Meet بضغطة,Integration
Ahla Meet,1,انضمام بضغطة واحدة بدون تسجيل مسبق (One‑Click Join),UI
Ahla Meet,2,خلفيات افتراضية تفاعلية ثلاثية الأبعاد مع إزالة الخلفية,UI
Ahla Meet,3,تأثيرات فيديو فورية (Blur/Lighting/Color),UI
Ahla Meet,4,مشاركة شاشة ذكية مع معاينة ومؤشر تفاعل,UI
Ahla Meet,5,غرف فرعية Breakout تلقائية حسب الحضور,UI
Ahla Meet,6,تسجيل 4K مع H.264/AV1 ورفع مباشر إلى Drive,UI
Ahla Meet,7,تصويت وأسئلة مباشرة داخل الواجهة,UI
Ahla Meet,8,Spotlight ديناميكي بناءً على الصوت/الحركة,UI
Ahla Meet,9,دردشة جانبية ذكية باقتراح ردود,UI
Ahla Meet,10,وضع التركيز لإظهار المتحدث فقط,UI
Ahla Meet,11,تشفير DTLS/SRTP افتراضي لكل جلسة,Security
Ahla Meet,12,خادم TURN (Coturn) لتجاوز NAT الصعب,Security
Ahla Meet,13,رموز أمان + غرفة انتظار قبل الدخول,Security
Ahla Meet,14,استضافة داخل نطاق سعودي سيادي,Security
Ahla Meet,15,تحكم قبول/رفض المشاركين للمضيف,Security
Ahla Meet,16,دخول المضيف عبر Ahla ID مع 2FA,Security
